IDEMPLEADO,NOMBRE,TELEFONO,CORREO,DNI,IDTIPOTRABAJO,IDTALLER
71,Adelheid Craggs,(573) 1529260,acraggs1y@godaddy.com,30429859,4,15
72,Harli Chant,(630) 5923675,hchant1z@nytimes.com,38283763,3,11
73,Perkin O'Mohun,(335) 9776993,pomohun20@sitemeter.com,4775913,5,10
74,Karoly Iston,(456) 5821314,kiston21@tripadvisor.com,31986209,4,8
75,Jackie Younie,(293) 3257565,jyounie22@themeforest.net,28870701,4,5
76,Charo Bayliss,(548) 5207889,cbayliss23@studiopress.com,28552407,2,11
77,Cirilo Ranby,(245) 3743057,cranby24@moonfruit.com,17796922,7,5
78,Glendon Harriss,(388) 4264938,gharriss25@taobao.com,4732255,6,13
79,Bernette Lung,(457) 3669684,blung26@theguardian.com,27893896,8,15
80,Evanne Longhurst,(489) 6849305,elonghurst27@kickstarter.com,35048403,1,8
81,Arlene McCaughren,(415) 7795919,amccaughren28@nba.com,20707055,4,7
82,Lynn Pentecost,(918) 3080522,lpentecost29@walmart.com,31343294,5,3
83,Marco Weathers,(109) 6959445,mweathers2a@php.net,35027160,8,12
84,Tobe Aspinwall,(475) 5252834,taspinwall2b@biglobe.ne.jp,35304156,4,1
85,Heath Schlagtmans,(287) 6622679,hschlagtmans2c@pbs.org,3077625,8,1
86,Justis Harvatt,(597) 1845196,jharvatt2d@army.mil,10129799,7,14
87,Skye Dolle,(922) 6547376,sdolle2e@a8.net,40751873,1,10
88,Eleanor Marlor,(135) 1675252,emarlor2f@apple.com,3246573,3,6
89,Izzy Atwill,(475) 5554096,iatwill2g@whitehouse.gov,13959008,2,14
90,Camile Antonacci,(152) 9680035,cantonacci2h@addthis.com,30826962,6,10
91,Arlee Prendeville,(696) 8292470,aprendeville2i@t.co,41593222,3,11
92,Raff Kitching,(507) 9371990,rkitching2j@nyu.edu,10013163,6,5
93,Normand Heyworth,(517) 1523568,nheyworth2k@google.fr,18941368,5,15
94,Garv Debrett,(665) 6537528,gdebrett2l@joomla.org,19994892,5,10
95,Felicity Nuzzi,(330) 3582143,fnuzzi2m@shop-pro.jp,36474079,8,6
96,Fabio Freiburger,(711) 2900452,ffreiburger2n@wufoo.com,31763351,3,5
97,Goober Colegrove,(236) 6901419,gcolegrove2o@hud.gov,24406729,8,11
98,Anestassia Netherclift,(487) 3551189,anetherclift2p@zdnet.com,23310605,5,4
99,Roseanna Woffinden,(336) 3140043,rwoffinden2q@github.com,26432860,6,11
100,Dori Wain,(272) 7852709,dwain2r@hibu.com,38024234,2,6
