IDCLIENTE,NOMBRE,TELEFONO,CORREO,DNI
35,Carlye Laterza,(149) 8425013,claterzay@skyrock.com,5355595
36,Belvia Late,(483) 2804926,blatez@g.co,6865143
37,Galen Hofler,(267) 3257785,ghofler10@google.it,34426723
38,Rosella Pomroy,(675) 4199065,rpomroy11@army.mil,7971321
39,Jenifer Bryant,(888) 2318009,jbryant12@mlb.com,22192675
40,Cristal Fickling,(824) 1459198,cfickling13@linkedin.com,26706591
41,Masha Heers,(769) 4765322,mheers14@ehow.com,35470350
42,Gene Halso,(964) 8862386,ghalso15@blog.com,15926386
43,Julianne Banane,(729) 3975712,jbanane16@house.gov,27128308
44,Hal Earsman,(871) 4034355,hearsman17@archive.org,3244875
45,Phebe Suero,(705) 3533095,psuero18@npr.org,29695331
46,Minerva Dowzell,(730) 1760498,mdowzell19@google.fr,21718452
47,Mariam Denton,(133) 7166604,mdenton1a@indiatimes.com,25219861
48,Arleta Loddy,(549) 2641726,aloddy1b@sbwire.com,31354412
49,Shaine Hallor,(487) 8991449,shallor1c@boston.com,40589758
50,Alexandra Escofier,(483) 3851697,aescofier1d@msn.com,35870009
51,Jase Barette,(918) 9754308,jbarette1e@utexas.edu,11717615
52,Dame MacLeese,(141) 5207025,dmacleese1f@tinyurl.com,19136656
53,Barbabra Gennrich,(240) 7813926,bgennrich1g@kickstarter.com,21162699
54,Lethia McEneny,(111) 2553050,lmceneny1h@cbsnews.com,4472920
55,Irvine Halden,(176) 1728552,ihalden1i@globo.com,12995852
56,Somerset Fretwell,(380) 6283920,sfretwell1j@si.edu,14432549
57,Clareta Seabridge,(968) 8069738,cseabridge1k@yandex.ru,2383585
58,Eula Rableau,(252) 5891857,erableau1l@nymag.com,40691864
59,Hobey Hutsby,(411) 1095747,hhutsby1m@feedburner.com,4028596
60,Marleen Sarah,(413) 3513189,msarah1n@seattletimes.com,25316698
61,Harlan Harm,(966) 9990659,hharm1o@icio.us,32579789
62,Haley Lindelof,(530) 7506528,hlindelof1p@cbslocal.com,14082960
63,Magdalen Botten,(474) 8137483,mbotten1q@hibu.com,39963726
64,Cammi Plampin,(648) 5027239,cplampin1r@yelp.com,19243937
65,Nanon Gudyer,(926) 2421821,ngudyer1s@addtoany.com,11763617
66,Berty Ghelardoni,(445) 3713335,bghelardoni1t@ted.com,29500199
67,Minnaminnie Wagnerin,(111) 3931965,mwagnerin1u@wired.com,3014641
68,Ted Looby,(637) 3297880,tlooby1v@adobe.com,16499368
69,Hildagarde Olivera,(123) 6725338,holivera1w@tamu.edu,7020622
70,Dorie Romaint,(512) 3011980,dromaint1x@bbb.org,9657771
71,Lyndy Geggie,(934) 2983486,lgeggie1y@homestead.com,5082087
72,Joyann Ganforthe,(912) 7794737,jganforthe1z@nydailynews.com,41575846
73,Christiano Dewdeny,(179) 2920418,cdewdeny20@guardian.co.uk,38029182
74,Kelly Halleybone,(196) 1794515,khalleybone21@ow.ly,7171940
75,Danice Vickerstaff,(680) 6361289,dvickerstaff22@mit.edu,12888274
76,Eran Radmore,(884) 4767461,eradmore23@census.gov,40930669
77,Culver Dennitts,(463) 3105637,cdennitts24@bluehost.com,3757255
78,Shayna Simonin,(256) 3453032,ssimonin25@delicious.com,10554541
79,Hymie Glabach,(423) 9781351,hglabach26@over-blog.com,38162844
80,Helen Stenhouse,(602) 2500577,hstenhouse27@google.com.au,37205540
81,Inger Greatbatch,(277) 9552645,igreatbatch28@yale.edu,16048861
82,Sissie Cutts,(626) 7025614,scutts29@soundcloud.com,8932115
83,Jaynell Vispo,(590) 2912646,jvispo2a@slashdot.org,5520899
84,Franciskus Josh,(546) 8513512,fjosh2b@abc.net.au,5775571
85,Currey Coghlan,(923) 5153432,ccoghlan2c@wordpress.com,22856818
86,Kain Lewens,(775) 4277855,klewens2d@noaa.gov,12126908
87,Colas Tankard,(884) 7691974,ctankard2e@fc2.com,34611732
88,Frances Pettegre,(932) 3408951,fpettegre2f@sogou.com,34778834
89,Elsie MacCoughan,(938) 8713405,emaccoughan2g@ycombinator.com,38320916
90,Betti Paulitschke,(756) 6065746,bpaulitschke2h@nih.gov,20054131
91,Mildred Simmons,(145) 3562733,msimmons2i@noaa.gov,28577865
92,Eryn Corsham,(478) 6521155,ecorsham2j@google.com,8463399
93,Debbie Guterson,(791) 4865508,dguterson2k@seesaa.net,15625447
94,Jacquenette Drage,(336) 8554667,jdrage2l@elpais.com,38286157
95,Borg Wallsworth,(970) 1836975,bwallsworth2m@fc2.com,19338815
96,Lazar Hynson,(228) 2246823,lhynson2n@forbes.com,33711447
97,Conan Sainthill,(191) 1191125,csainthill2o@wunderground.com,28791541
98,Lonnard De Dantesie,(134) 2873140,lde2p@mediafire.com,38882248
99,Meyer Mullaly,(717) 8155358,mmullaly2q@umich.edu,31727043
100,Noel Renvoys,(205) 3524550,nrenvoys2r@howstuffworks.com,4930971
